comparator,term,coef,std_err_hc3,t_stat,p_value,ci_lower_95,ci_upper_95
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.1_lower],0.0018600660066008592,0.0037943527125812327,0.4902195835493344,0.6239785244427818,-0.005576728654700216,0.009296860667901936
MeanSD,C(CE)[T.15.0]:C(Contamination)[T.0.1_upper],-0.002150330033003259,0.0054356719742778255,-0.3955959894524262,0.6924030962081715,-0.012804051334361528,0.00850339126835501
MeanSD,C(CE)[T.20.0]:C(Contamination)[T.0.1_upper],0.003051650165016782,0.005056486611528147,0.6035119638326357,0.5461681590390596,-0.0068588814818873614,0.012962181811920926
MeanSD,C(CE)[T.25.0]:C(Contamination)[T.0.1_upper],0.004048514851485437,0.004990355622543899,0.8112678048827417,0.41721189456480456,-0.005732402438747565,0.01382943214171844
MeanSD,C(CE)[T.30.0]:C(Contamination)[T.0.1_upper],0.0094143564356437,0.0060470539594177095,1.5568500791995974,0.11950608407287856,-0.0024376515373853436,0.021266364408672744
Percentile,Intercept,0.1436736633663367,0.003356945668036292,42.798924252587405,0.0,0.1370941707589278,0.15025315597374558
Percentile,C(N)[T.15],0.0026363036303631185,0.003087400727609072,0.85389097916185,0.39316539827242925,-0.0034148906015934208,0.008687497862319657
Percentile,C(N)[T.20],-0.001570957095709914,0.0029722937084258444,-0.5285336005848184,0.5971290323031908,-0.0073965457156995665,0.004254631524279738
Percentile,C(N)[T.25],-0.008530363036304174,0.0026825180641397795,-3.1799834455316747,0.001472834660097779,-0.013788001829896248,-0.0032727242427121
Percentile,C(N)[T.30],-0.013949504950495073,0.00255753655747812,-5.4542739221878795,4.9173351612832886e-08,-0.01896218449229674,-0.008936825408693404
Percentile,C(N)[T.40],-0.024273267326732878,0.0023610201536746504,-10.280838682784808,8.597616222946501e-25,-0.028900781794708418,-0.01964575285875734
Percentile,C(N)[T.50],-0.0323412541254132,0.0023754295568093014,-13.61490768383562,3.2655811466090114e-42,-0.036997010504571375,-0.027685497746255026
Percentile,C(N)[T.75],-0.04643102310231104,0.0025626220688908406,-18.118560542330542,2.2746864366058282e-73,-0.05145367006332461,-0.04140837614129748
Percentile,C(N)[T.100],-0.05697821782178217,0.0029528967611931337,-19.29570263701323,5.8366137772943826e-83,-0.06276578912378568,-0.05119064651977865
Percentile,C(N)[T.200],-0.07362046204620443,0.0038589386262539833,-19.077904360886553,3.854048166213653e-81,-0.0811838427722127,-0.06605708132019615
Percentile,C(distribution)[T.Compressed Normal],-0.10786376237623703,0.003093520353900352,-34.86764269717539,2.3006913110323985e-266,-0.11392695085532333,-0.10180057389715073
Percentile,C(distribution)[T.Left-skewed],-0.03094475247524731,0.002011831261956201,-15.38138563626764,2.182269656808884e-53,-0.03488786929165323,-0.027001635658841387
Percentile,C(distribution)[T.Normal],-0.08694534653465344,0.0020225632972260517,-42.98770112851306,0.0,-0.09090949775366908,-0.0829811953156378
Percentile,C(distribution)[T.Right-skewed],-0.10737623762376218,0.0022602884699143197,-47.5055458862879,0.0,-0.1118063216194654,-0.10294615362805896
Percentile,C(distribution)[T.Uniform],0.008719405940593904,0.0023812818034088094,3.661643879406485,0.00025060205498492156,0.004052179368872049,0.01338663251231576
Percentile,C(CE)[T.15.0],-0.0033009900990099337,0.0021633696678825757,-1.5258557739883716,0.12704578693900984,-0.007541116733306159,0.0009391365352862924
Percentile,C(CE)[T.20.0],-0.005026897689768996,0.002077255051633699,-2.419971339492226,0.015521730414980771,-0.009098242777674938,-0.0009555526018630552
Percentile,C(CE)[T.25.0],-0.006926897689769116,0.0020737650376760237,-3.340251939791493,0.0008370241915136687,-0.010991402476012472,-0.002862392903525761
Percentile,C(CE)[T.30.0],-0.007682178217821778,0.002286995153107678,-3.359070616036448,0.0007820508051549455,-0.012164606350730495,-0.003199750084913063
Percentile,C(Contamination)[T.0.01_upper],0.0007211881188120689,0.004818237584159361,0.1496788205677273,0.8810180186542949,-0.008722384015097557,0.010164760252721694
Percentile,C(Contamination)[T.0.05_lower],-1.6831683170283015e-06,0.004632812894872618,-0.0003633145467392292,0.999710116938819,-0.009081829589380107,0.009078463252746052
Percentile,C(Contamination)[T.0.05_upper],0.008410231023102229,0.007499228132324383,1.12147955425587,0.26208378969760804,-0.006287986028103137,0.023108448074307595
Percentile,C(Contamination)[T.0.0_clean],0.0001587128712877031,0.0044140484081025815,0.035956305099954095,0.9713171998848051,-0.008492663034609715,0.008810088777185122
Percentile,C(Contamination)[T.0.1_lower],-0.001346204620462017,0.004744887442012519,-0.28371687145670865,0.7766273642589282,-0.010646013117502939,0.007953603876578905
Percentile,C(Contamination)[T.0.1_upper],0.14371264026402616,0.009993751512364778,14.380249507526536,6.884590768104466e-47,0.1241252472293485,0.16330003329870382
